"RIC"	"TimeUtc"	"Flags"	"VolumeAccumulated"	"TradingStatus"	"LatestTradePrice"	"LatestTradeSize"	"BestAskPrice"	"BestAskSize"	"BestBidPrice"	"BestBidSize"	"BidOrderBook"	"AskOrderBook"
"TST.J"	"06/12/2018 07:48:23"	"00100000"	"16727"	"Continuous"	"950"	"1258"	"985"	"2000"	"950"	"892"	"Level: 1 Price: 950 Quantity: 2150| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 850 Quantity: 2400| Level: 4 Price: 750 Quantity: 26013| Level: 5 Price: 105 Quantity: 15013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 07:58:33"	"00100000"	"16727"	"Continuous"	"950"	"1258"	"985"	"2000"	"950"	"1070"	"Level: 1 Price: 950 Quantity: 892| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 850 Quantity: 2400| Level: 4 Price: 750 Quantity: 26013| Level: 5 Price: 105 Quantity: 15013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 08:20:08"	"00100000"	"16727"	"Continuous"	"950"	"1258"	"985"	"2000"	"950"	"892"	"Level: 1 Price: 950 Quantity: 1070| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 08:20:29"	"10000010"	"16905"	"Continuous"	"950"	"178"	"985"	"2000"	"950"	"892"	"Level: 1 Price: 950 Quantity: 892| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 08:20:29"	"00100000"	"16905"	"Continuous"	"950"	"178"	"985"	"2000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 892| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 08:27:33"	"00001100"	"16905"	"Continuous"	"950"	"178"	"990"	"4000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 985 Quantity: 2013| Level: 2 Price: 990 Quantity: 4013| Level: 3 Price: 1024 Quantity: 3474| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 08:27:38"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 08:33:51"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"4000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 08:33:57"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1025 Quantity: 989050| Level: 3 Price: 1040 Quantity: 19919| Level: 4 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 09:14:19"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"4000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 09:14:20"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 65170| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 09:32:53"	"00100000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"950"	"3140"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 901 Quantity: 8658| Level: 3 Price: 900 Quantity: 50013| Level: 4 Price: 890 Quantity: 2200| Level: 5 Price: 850 Quantity: 2400"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 09:59:58"	"01000000"	"16905"	"Auction"	"950"	"178"	"990"	"6000"	"950"	"3140"	"Level: 1 Price: 950 Quantity: 3140| Level: 2 Price: 901 Quantity: 8658| Level: 3 Price: 900 Quantity: 50013| Level: 4 Price: 890 Quantity: 2200| Level: 5 Price: 850 Quantity: 2400"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 09:59:58"	"00001000"	"16905"	"Auction"	"950"	"178"	"990"	"4000"	"950"	"3140"	"Level: 1 Price: 950 Quantity: 3140| Level: 2 Price: 901 Quantity: 8658| Level: 3 Price: 900 Quantity: 50013| Level: 4 Price: 890 Quantity: 2200| Level: 5 Price: 850 Quantity: 2400"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 09:59:58"	"00100000"	"16905"	"Auction"	"950"	"178"	"990"	"4000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 3140| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1020 Quantity: 50013| Level: 3 Price: 1025 Quantity: 989050| Level: 4 Price: 1040 Quantity: 19919| Level: 5 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 10:15:01"	"01000000"	"16905"	"Continuous"	"950"	"178"	"990"	"4000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1020 Quantity: 50013| Level: 3 Price: 1025 Quantity: 989050| Level: 4 Price: 1040 Quantity: 19919| Level: 5 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 10:15:01"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"950"	"714"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 900 Quantity: 50013| Level: 3 Price: 890 Quantity: 2200| Level: 4 Price: 850 Quantity: 2400| Level: 5 Price: 750 Quantity: 26013"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1020 Quantity: 50013| Level: 3 Price: 1025 Quantity: 989050| Level: 4 Price: 1040 Quantity: 19919| Level: 5 Price: 1050 Quantity: 6013"
"TST.J"	"06/12/2018 10:16:08"	"00110000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"951"	"2478"	"Level: 1 Price: 950 Quantity: 714| Level: 2 Price: 901 Quantity: 8658| Level: 3 Price: 900 Quantity: 50013| Level: 4 Price: 890 Quantity: 2200| Level: 5 Price: 850 Quantity: 2400"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 11:04:02"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"4000"	"951"	"2478"	"Level: 1 Price: 951 Quantity: 2478| Level: 2 Price: 950 Quantity: 714| Level: 3 Price: 901 Quantity: 8658| Level: 4 Price: 900 Quantity: 50013| Level: 5 Price: 890 Quantity: 2200"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 11:04:02"	"00001000"	"16905"	"Continuous"	"950"	"178"	"990"	"6000"	"951"	"2478"	"Level: 1 Price: 951 Quantity: 2478| Level: 2 Price: 950 Quantity: 714| Level: 3 Price: 901 Quantity: 8658| Level: 4 Price: 900 Quantity: 50013| Level: 5 Price: 890 Quantity: 2200"	"Level: 1 Price: 990 Quantity: 4013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 11:06:33"	"10000011"	"16982"	"Continuous"	"990"	"77"	"990"	"6000"	"951"	"2478"	"Level: 1 Price: 951 Quantity: 2478| Level: 2 Price: 950 Quantity: 714| Level: 3 Price: 901 Quantity: 8658| Level: 4 Price: 900 Quantity: 50013| Level: 5 Price: 890 Quantity: 2200"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
"TST.J"	"06/12/2018 11:06:33"	"00001000"	"16982"	"Continuous"	"990"	"77"	"990"	"5923"	"951"	"2478"	"Level: 1 Price: 951 Quantity: 2478| Level: 2 Price: 950 Quantity: 714| Level: 3 Price: 901 Quantity: 8658| Level: 4 Price: 900 Quantity: 50013| Level: 5 Price: 890 Quantity: 2200"	"Level: 1 Price: 990 Quantity: 6013| Level: 2 Price: 1019 Quantity: 3474| Level: 3 Price: 1020 Quantity: 50013| Level: 4 Price: 1025 Quantity: 989050| Level: 5 Price: 1040 Quantity: 19919"
