Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.log]   317837590261   20180612-09:14:14.145   2             Bid{897,25013}   Ask{1025,991050}  BookBid{897,25013;896,8115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:19:22     Continuous    Bid{995,1}       Ask{1000,2000}    BookBid{904,8115;903,71013;901,25013;850,2400;750,26013}   BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:14:14.302   2             Bid{897,27013}   Ask{1025,991050}  BookBid{897,27013;896,6115;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:09     Continuous    Bid{994,1}       Ask{1000,2000}    BookBid{995,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:07.464   2             Bid{897,27013}   Ask{1025,991050}  BookBid{897,27013;893,71013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:22:09     Continuous    Bid{993,1}       Ask{1000,2000}    BookBid{994,1;904,2013;903,71013;900,25013;850,2400}       BookAsk{1000,2013;1025,989050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:15:07.576   2             Bid{898,6115}    Ask{1025,991050}  BookBid{898,6115;897,27013;893,71013;850,2400;750,26013}   BookAsk{1025,991050;1040,19919;1050,6013}

