Source       Instrument     DateTime                Stat          Bid              Ask               BookBid                                                    BookAsk
[TSTJ.log]   317837590261   20180612-08:58:47.832   2             Bid{850,2400}    Ask{885,5353}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5353;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:25     Continuous    Bid{885,4500}    Ask{890,1}        BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.833   2             Bid{850,2400}    Ask{885,5352}     BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,5352;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:44     Continuous    Bid{889,75013}   Ask{890,1}        BookBid{885,4500;884,75013;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.833   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:03:44     Continuous    Bid{889,77013}   Ask{890,1}        BookBid{889,75013;885,4500;850,2400;750,26013;105,15013}   BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.842   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:06:01     Continuous    Bid{889,77013}   Ask{890,1}        BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:58:47.842   2             Bid{850,2400}    Ask{1025,989050}  BookBid{850,2400;750,26013;105,15013}                      BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:06:01     Continuous    Bid{889,77013}   Ask{1025,991050}  BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{890,1;1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:59:00.249   2             Bid{850,2400}    Ask{885,1}        BookBid{850,2400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:06:59     Continuous    Bid{890,6115}    Ask{1025,991050}  BookBid{889,77013;850,2400;750,26013;105,15013}            BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-08:59:47.277   2             Bid{850,4400}    Ask{885,1}        BookBid{850,4400;750,26013;105,15013}                      BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:06:59     Continuous    Bid{890,8115}    Ask{1025,991050}  BookBid{890,6115;889,77013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:01:14.856   2             Bid{884,75013}   Ask{885,1}        BookBid{884,75013;850,4400;750,26013;105,15013}            BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:07:14     Continuous    Bid{890,33115}   Ask{1025,991050}  BookBid{890,8115;889,75013;850,2400;750,26013;105,15013}   BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:01:15.013   2             Bid{884,77013}   Ask{885,1}        BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{885,1;1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:10:15     Continuous    Bid{891,75013}   Ask{1025,991050}  BookBid{890,33115;889,75013;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
[TSTJ.log]   317837590261   20180612-09:01:28.221   2             Bid{884,77013}   Ask{1025,989050}  BookBid{884,77013;850,2400;750,26013;105,15013}            BookAsk{1025,989050;1040,19919;1050,6013}

[TSTJ.csv]   TST.J          06/12/2018 07:10:15     Continuous    Bid{891,77013}   Ask{1025,991050}  BookBid{891,75013;890,33115;850,2400;750,26013;105,15013}  BookAsk{1025,991050;1040,19919;1050,6013}
